"student_id","school_id","grade","reading_time_home","parent_education","school_type","gender","birth_months","n_siblings","ses_index","naplan_reading_score"
87,53,"Year 7",0,"Bachelor degree","Government","Female","Apr",2,0.53,518
88,14,"Year 7",15,"Year 12","Government","Female","Aug",0,0.32,608
89,38,"Year 5",30,"Certificate/Diploma","Government","Male","Jul",2,0.7,547
90,14,"Year 5",25,"Certificate/Diploma","Government","Male","Feb",0,0.7,508
91,1,"Year 3",5,"Bachelor degree","Independent","Female","Aug",1,1.81,555
92,17,"Year 7",0,"Year 10 or below","Independent","Female","Apr",2,0.15,588
93,60,"Year 7",35,"Year 12","Government","Female","Feb",1,-0.04,502
94,18,"Year 3",10,"Certificate/Diploma","Government","Male","Feb",3,0.39,405
95,18,"Year 9",10,"Year 12","Government","Male","May",3,0.07,613
96,48,"Year 5",65,"Year 10 or below","Government","Female","Jul",4,-1.23,403
97,23,"Year 9",10,"Year 10 or below","Independent","Female","Jul",0,0.08,648
98,17,"Year 9",5,"Bachelor degree","Independent","Male","Aug",1,3,621
99,16,"Year 7",5,"Postgraduate","Independent","Female","Jan",1,1.95,677
100,34,"Year 3",5,"Bachelor degree","Catholic","Male","Dec",5,0.86,457
101,11,"Year 7",10,"Certificate/Diploma","Government","Female","Oct",1,0.16,542
102,40,"Year 5",30,"Year 10 or below","Government","Male","Aug",1,-0.81,470
103,55,"Year 9",25,"Year 12","Government","Male","Oct",2,-0.88,666
104,39,"Year 3",30,"Bachelor degree","Independent","Male","Jan",2,1.83,491
105,23,"Year 9",0,"Year 10 or below","Independent","Female","Oct",3,-0.47,651
106,27,"Year 5",0,"Certificate/Diploma","Government","Female","Oct",1,0.76,489
107,38,"Year 7",0,"Certificate/Diploma","Government","Male","Oct",2,0.94,613
108,41,"Year 5",75,"Year 12","Government","Female","Jan",3,-0.08,381
109,6,"Year 9",20,"Year 10 or below","Government","Male","Sep",3,-1.37,563
110,18,"Year 5",20,"Bachelor degree","Government","Female","Feb",3,0.67,480
111,29,"Year 3",0,"Year 12","Government","Male","Oct",2,-0.79,403
112,38,"Year 5",75,"Year 12","Government","Female","Feb",5,0.5,572
113,12,"Year 3",40,"Bachelor degree","Catholic","Male","Aug",0,0.36,509
114,54,"Year 5",0,"Postgraduate","Catholic","Female","Dec",3,1.9,585
115,29,"Year 3",0,"Postgraduate","Government","Male","Apr",1,2.08,463
116,43,"Year 5",15,"Certificate/Diploma","Government","Male","May",2,0.13,512
117,12,"Year 5",5,"Bachelor degree","Catholic","Male","Aug",4,0.67,530
118,22,"Year 5",10,"Year 10 or below","Government","Female","Nov",1,-1.82,556
119,7,"Year 9",10,"Year 10 or below","Catholic","Female","May",2,-0.92,645
120,26,"Year 3",85,"Year 12","Government","Female","Aug",3,-0.67,405
121,45,"Year 9",10,"Bachelor degree","Government","Female","Feb",2,1.25,631
122,12,"Year 7",5,"Certificate/Diploma","Catholic","Female","Mar",3,1.47,579
123,55,"Year 5",10,"Year 10 or below","Government","Female","Nov",1,-1.4,525
124,42,"Year 3",35,"Postgraduate","Government","Male","May",4,1.69,562
125,34,"Year 5",25,"Certificate/Diploma","Catholic","Female","Aug",1,-0.17,473
126,39,"Year 5",0,"Bachelor degree","Independent","Male","Apr",1,1.92,564
127,37,"Year 9",30,"Certificate/Diploma","Government","Female","Feb",2,1.33,648
128,27,"Year 7",20,"Year 12","Government","Female","Feb",1,-0.58,555
129,25,"Year 7",0,"Bachelor degree","Government","Female","Nov",1,1.23,636
130,60,"Year 7",50,"Bachelor degree","Government","Male","Jan",5,1.16,563
131,5,"Year 7",40,"Bachelor degree","Government","Male","Aug",2,0.22,745
132,41,"Year 3",90,"Bachelor degree","Government","Female","Jul",2,1.74,366
133,47,"Year 9",55,"Year 10 or below","Independent","Female","Sep",3,0.36,780
134,2,"Year 7",5,"Year 10 or below","Independent","Female","Apr",2,-0.39,610
135,5,"Year 3",5,"Year 10 or below","Government","Male","Oct",2,-1.23,422
136,48,"Year 9",10,"Year 12","Government","Female","Oct",0,-0.16,594
137,59,"Year 3",0,"Year 12","Government","Female","Jan",1,-0.09,410
138,57,"Year 3",35,"Year 12","Catholic","Female","Mar",2,0.24,312
139,45,"Year 3",0,"Certificate/Diploma","Government","Male","Dec",0,0.35,450
140,8,"Year 9",0,"Bachelor degree","Government","Female","Oct",0,1.27,664
141,5,"Year 3",0,"Certificate/Diploma","Government","Male","Apr",1,0.11,399
142,56,"Year 7",0,"Bachelor degree","Catholic","Female","Dec",2,1.56,589
143,45,"Year 3",20,"Bachelor degree","Government","Male","Sep",3,0.41,420
144,39,"Year 3",15,"Year 12","Independent","Female","Aug",2,0.8,487
145,54,"Year 9",30,"Year 12","Catholic","Male","Dec",1,0.35,557
146,55,"Year 3",5,"Certificate/Diploma","Government","Female","Jan",0,1.07,455
147,25,"Year 9",60,"Year 10 or below","Government","Male","May",1,-0.52,573
148,48,"Year 5",35,"Bachelor degree","Government","Male","Jul",1,0.16,504
149,5,"Year 3",20,"Bachelor degree","Government","Female","Aug",3,1.1,509
150,20,"Year 9",35,"Bachelor degree","Government","Female","Oct",2,1.41,697
151,18,"Year 5",40,"Bachelor degree","Government","Female","Feb",1,1.05,460
152,53,"Year 5",120,"Certificate/Diploma","Government","Female","Sep",2,0.25,700
153,51,"Year 9",5,"Year 10 or below","Government","Female","Jan",1,-1.36,583
154,20,"Year 9",0,"Bachelor degree","Government","Male","Aug",2,1.18,603
155,44,"Year 9",0,"Certificate/Diploma","Independent","Female","Jul",2,1.14,657
156,38,"Year 7",0,"Bachelor degree","Government","Male","Jul",1,2.25,614
157,41,"Year 5",20,"Year 12","Government","Female","Oct",0,0.22,478
158,56,"Year 5",5,"Bachelor degree","Catholic","Male","Mar",2,1.21,529
159,27,"Year 7",20,"Year 12","Government","Male","Sep",4,0.8,575
160,29,"Year 9",10,"Bachelor degree","Government","Male","Apr",1,0.73,675
161,22,"Year 9",0,"Certificate/Diploma","Government","Female","Sep",0,-0.17,596
162,51,"Year 7",40,"Year 12","Government","Female","Mar",2,0.33,630
163,39,"Year 5",40,"Bachelor degree","Independent","Female","Jan",0,1.6,608
164,15,"Year 3",0,"Bachelor degree","Government","Female","Sep",1,2.32,423
165,14,"Year 9",5,"Year 12","Government","Male","Sep",2,-0.65,555
166,55,"Year 5",10,"Year 10 or below","Government","Female","Aug",4,-0.65,522
167,32,"Year 7",15,"Year 12","Catholic","Male","Oct",1,0.47,553
168,40,"Year 5",25,"Bachelor degree","Government","Male","Nov",2,0.85,503
169,20,"Year 9",0,"Year 10 or below","Government","Female","Nov",1,-0.87,584
170,26,"Year 7",45,"Certificate/Diploma","Government","Male","Apr",3,0.81,524
171,27,"Year 3",30,"Year 12","Government","Male","Apr",3,0.51,424
172,43,"Year 3",5,"Certificate/Diploma","Government","Female","May",2,0.7,438
173,41,"Year 3",10,"Certificate/Diploma","Government","Male","Sep",1,-0.19,394
174,50,"Year 7",10,"Certificate/Diploma","Government","Female","Sep",2,0,588
175,11,"Year 5",0,"Postgraduate","Government","Male","Aug",2,1.66,509
176,48,"Year 9",50,"Year 10 or below","Government","Male","Dec",3,-1.26,516
177,37,"Year 9",20,"Certificate/Diploma","Government","Male","Dec",1,0.26,663
178,33,"Year 5",0,"Year 12","Government","Female","Aug",4,0,538
179,35,"Year 7",0,"Certificate/Diploma","Government","Female","Dec",4,-0.49,527
180,43,"Year 5",0,"Year 10 or below","Government","Male","Mar",3,-0.67,457
181,60,"Year 9",10,"Bachelor degree","Government","Female","Jan",1,1.13,625
182,45,"Year 9",20,"Year 10 or below","Government","Male","Aug",0,-1.34,609
183,38,"Year 7",15,"Year 10 or below","Government","Female","Dec",0,-1.08,583
184,43,"Year 7",0,"Certificate/Diploma","Government","Male","Jul",3,-0.03,545
185,20,"Year 5",110,"Year 10 or below","Government","Male","Aug",2,-0.81,577
186,32,"Year 3",10,"Bachelor degree","Catholic","Male","Jul",1,2.3,442
187,20,"Year 5",25,"Postgraduate","Government","Female","Feb",4,0.73,581
188,10,"Year 7",0,"Certificate/Diploma","Catholic","Female","Mar",3,0.87,625
189,8,"Year 3",0,"Postgraduate","Government","Male","Dec",2,2.47,483
190,57,"Year 3",10,"Year 10 or below","Catholic","Female","Nov",3,-1.05,344
191,22,"Year 5",25,"Year 10 or below","Government","Female","Nov",1,-0.32,569
192,30,"Year 7",5,"Year 12","Catholic","Male","Jul",1,0.97,592
193,18,"Year 9",15,"Year 12","Government","Male","Feb",1,0.86,555
194,27,"Year 7",50,"Postgraduate","Government","Male","Feb",2,1.69,731
195,46,"Year 5",20,"Certificate/Diploma","Independent","Male","Oct",1,0.38,563
196,29,"Year 3",5,"Certificate/Diploma","Government","Female","Dec",0,0.35,449
197,38,"Year 3",0,"Year 12","Government","Female","Nov",2,0.31,424
198,14,"Year 7",80,"Year 12","Government","Female","Apr",3,-0.39,588
199,38,"Year 5",70,"Year 12","Government","Female","Jul",2,0.29,612
200,55,"Year 9",55,"Certificate/Diploma","Government","Male","Mar",1,0.6,787
201,15,"Year 5",30,"Bachelor degree","Government","Male","Dec",0,1.33,583
202,58,"Year 9",5,"Year 12","Government","Female","Jul",3,-0.11,618
203,38,"Year 5",10,"Bachelor degree","Government","Male","Jul",1,0.57,591
204,5,"Year 3",0,"Year 10 or below","Government","Male","Feb",2,-0.19,377
205,20,"Year 9",0,"Year 12","Government","Male","Oct",1,-0.14,649
206,22,"Year 5",0,"Year 12","Government","Female","Jul",2,-0.39,492
207,15,"Year 7",25,"Certificate/Diploma","Government","Female","Dec",1,0.21,655
208,30,"Year 7",20,"Certificate/Diploma","Catholic","Male","Jan",2,0.56,622
209,25,"Year 3",0,"Postgraduate","Government","Female","Mar",1,1.52,468
210,52,"Year 7",25,"Certificate/Diploma","Government","Female","Aug",0,0.69,574
211,53,"Year 7",0,"Bachelor degree","Government","Male","Dec",1,0.26,565
212,50,"Year 3",40,"Year 12","Government","Male","Jul",1,-0.28,456
213,36,"Year 3",30,"Year 10 or below","Catholic","Male","Feb",3,0.25,391
214,39,"Year 9",10,"Bachelor degree","Independent","Male","Dec",1,2.75,687
215,60,"Year 3",35,"Bachelor degree","Government","Male","Sep",3,1.06,399
216,54,"Year 7",40,"Bachelor degree","Catholic","Female","Jul",2,1.09,556
217,31,"Year 3",10,"Certificate/Diploma","Catholic","Male","Mar",5,-0.04,515
218,15,"Year 9",10,"Year 12","Government","Male","Aug",2,0.26,613
219,45,"Year 9",0,"Year 12","Government","Male","Dec",1,0.17,549
220,43,"Year 9",25,"Year 12","Government","Female","Aug",5,0.39,663
221,9,"Year 9",0,"Bachelor degree","Catholic","Male","Mar",1,1.14,586
222,28,"Year 7",20,"Certificate/Diploma","Independent","Female","Sep",2,0.89,646
223,44,"Year 5",0,"Certificate/Diploma","Independent","Female","Jul",2,1.19,597
224,26,"Year 9",50,"Certificate/Diploma","Government","Male","Dec",1,-0.19,585
225,25,"Year 7",5,"Certificate/Diploma","Government","Female","May",5,-0.69,578
226,24,"Year 3",15,"Postgraduate","Independent","Female","Aug",2,2,544
227,17,"Year 9",0,"Bachelor degree","Independent","Male","Nov",0,1.77,645
228,22,"Year 3",5,"Bachelor degree","Government","Female","Sep",1,1.29,519
229,13,"Year 5",20,"Certificate/Diploma","Independent","Female","Jul",1,1.15,507
230,3,"Year 9",115,"Year 10 or below","Government","Male","Oct",1,-0.75,663
231,27,"Year 5",5,"Year 12","Government","Male","Feb",4,-0.01,464
232,48,"Year 7",0,"Bachelor degree","Government","Male","Jan",1,-0.18,609
233,3,"Year 7",25,"Year 12","Government","Female","Jul",1,-0.44,567
234,49,"Year 9",20,"Certificate/Diploma","Independent","Female","Nov",2,0.62,634
235,20,"Year 5",50,"Bachelor degree","Government","Female","Jul",1,0.73,585
236,37,"Year 3",5,"Bachelor degree","Government","Male","Mar",2,0.85,515
237,45,"Year 9",5,"Bachelor degree","Government","Female","Oct",2,1.13,614
238,42,"Year 9",25,"Year 12","Government","Female","Dec",2,-0.13,684
239,48,"Year 9",0,"Bachelor degree","Government","Female","Dec",1,0.36,617
240,21,"Year 7",35,"Certificate/Diploma","Independent","Female","Sep",1,2.39,674
241,39,"Year 3",0,"Bachelor degree","Independent","Female","Feb",2,1.43,549
242,12,"Year 3",45,"Year 10 or below","Catholic","Female","Jan",1,-0.81,425
243,29,"Year 3",35,"Year 12","Government","Female","Oct",2,0.33,416
244,19,"Year 7",0,"Year 12","Government","Male","Sep",1,-0.59,624
245,27,"Year 9",0,"Certificate/Diploma","Government","Female","Nov",4,0.55,591
246,30,"Year 3",45,"Certificate/Diploma","Catholic","Female","Nov",1,-1.09,531
247,44,"Year 9",65,"Year 10 or below","Independent","Female","Jun",0,0.34,676
248,55,"Year 7",95,"Certificate/Diploma","Government","Male","Nov",0,-0.03,800
249,14,"Year 9",20,"Postgraduate","Government","Male","Nov",2,1.57,664
250,54,"Year 7",10,"Bachelor degree","Catholic","Male","Oct",1,1.34,571
251,44,"Year 9",40,"Year 12","Independent","Male","Oct",0,1.61,716
252,18,"Year 7",0,"Year 12","Government","Female","Jan",5,0.03,552
253,28,"Year 5",5,"Year 12","Independent","Female","Apr",0,0.88,545
254,27,"Year 3",0,"Year 12","Government","Male","Nov",0,0.7,396
255,19,"Year 3",5,"Bachelor degree","Government","Male","Nov",3,0.97,495
256,30,"Year 3",0,"Year 10 or below","Catholic","Female","Dec",1,-0.56,415
257,38,"Year 5",25,"Bachelor degree","Government","Female","Nov",1,1.13,573
258,6,"Year 7",30,"Year 10 or below","Government","Male","Oct",1,-1.04,524
259,36,"Year 3",10,"Year 10 or below","Catholic","Male","May",1,-1.23,468
260,27,"Year 7",20,"Postgraduate","Government","Female","Oct",1,0.84,634
261,27,"Year 3",30,"Postgraduate","Government","Female","Feb",0,1.6,506
262,31,"Year 3",0,"Year 12","Catholic","Female","Nov",2,-0.08,393
263,41,"Year 3",10,"Certificate/Diploma","Government","Male","Aug",1,0.89,412
264,24,"Year 9",60,"Postgraduate","Independent","Male","Nov",3,1.7,704
265,51,"Year 3",10,"Year 12","Government","Male","Jun",5,-0.55,438
266,24,"Year 5",30,"Certificate/Diploma","Independent","Male","Aug",5,0.38,563
267,30,"Year 7",75,"Year 12","Catholic","Female","Mar",1,0.74,685
268,4,"Year 3",5,"Certificate/Diploma","Catholic","Male","Jan",1,0.56,496
269,34,"Year 7",25,"Year 12","Catholic","Female","Jul",0,1.27,531
270,6,"Year 7",60,"Bachelor degree","Government","Male","Feb",3,0.87,667
271,43,"Year 5",0,"Certificate/Diploma","Government","Male","Nov",1,0.04,437
272,55,"Year 7",20,"Year 12","Government","Male","May",3,-1.01,588
273,25,"Year 3",35,"Bachelor degree","Government","Female","Sep",2,2.31,449
274,55,"Year 7",0,"Bachelor degree","Government","Male","Mar",1,1.03,550
275,57,"Year 9",5,"Certificate/Diploma","Catholic","Female","Nov",1,-0.26,611
276,43,"Year 9",5,"Year 12","Government","Male","May",2,-0.15,576
277,7,"Year 7",15,"Postgraduate","Catholic","Male","Sep",3,1.39,642
278,42,"Year 7",15,"Year 12","Government","Female","May",2,-0.47,601
279,34,"Year 9",55,"Bachelor degree","Catholic","Male","Nov",2,1.49,567
280,37,"Year 3",5,"Postgraduate","Government","Female","Jul",1,1.96,471
281,41,"Year 7",70,"Certificate/Diploma","Government","Male","Jan",2,-0.1,494
282,34,"Year 3",0,"Certificate/Diploma","Catholic","Male","Dec",1,0.92,469
283,26,"Year 7",0,"Year 10 or below","Government","Female","Jan",3,-1.29,534
284,1,"Year 3",0,"Certificate/Diploma","Independent","Male","Jul",1,0.42,443
285,60,"Year 3",0,"Bachelor degree","Government","Male","Sep",3,0.56,453
286,50,"Year 5",0,"Bachelor degree","Government","Male","May",1,1.03,569
287,45,"Year 3",25,"Certificate/Diploma","Government","Male","May",0,0.52,391
288,12,"Year 3",15,"Certificate/Diploma","Catholic","Male","Nov",1,1.21,422
289,41,"Year 9",5,"Bachelor degree","Government","Female","Oct",3,0.08,543
290,18,"Year 5",15,"Certificate/Diploma","Government","Male","Jan",1,0.01,454
291,19,"Year 9",5,"Postgraduate","Government","Male","Nov",0,2.45,656
292,42,"Year 7",5,"Certificate/Diploma","Government","Male","Mar",2,-0.06,553
293,38,"Year 9",50,"Year 10 or below","Government","Female","Dec",2,-0.56,653
294,18,"Year 5",50,"Year 10 or below","Government","Female","Dec",1,-0.51,331
295,32,"Year 9",5,"Bachelor degree","Catholic","Male","Feb",4,1.54,654
296,26,"Year 7",10,"Year 10 or below","Government","Female","Mar",0,-0.95,530
297,52,"Year 7",0,"Certificate/Diploma","Government","Female","Nov",3,1.15,592
298,46,"Year 5",30,"Certificate/Diploma","Independent","Male","Mar",3,1.21,538
299,49,"Year 9",10,"Bachelor degree","Independent","Female","Jul",1,1.93,679
300,3,"Year 5",20,"Year 10 or below","Government","Female","Oct",2,-1.26,466
301,26,"Year 3",35,"Year 12","Government","Female","Oct",2,-1.48,415
302,15,"Year 3",35,"Bachelor degree","Government","Male","Sep",2,0.56,555
303,18,"Year 9",20,"Bachelor degree","Government","Female","Aug",2,0.29,623
304,57,"Year 5",30,"Certificate/Diploma","Catholic","Female","Aug",3,0.23,418
305,1,"Year 9",35,"Certificate/Diploma","Independent","Female","Apr",3,0.46,788
306,27,"Year 5",10,"Certificate/Diploma","Government","Male","Dec",3,-0.17,568
307,14,"Year 7",0,"Year 12","Government","Male","Jul",2,0.12,549
308,26,"Year 3",0,"Year 10 or below","Government","Female","Jan",2,-1.59,366
309,38,"Year 9",15,"Year 12","Government","Female","Dec",5,0.28,612
310,13,"Year 7",15,"Bachelor degree","Independent","Male","Nov",4,1.54,594
311,29,"Year 9",30,"Bachelor degree","Government","Female","Jul",1,1.54,620
312,29,"Year 7",5,"Year 10 or below","Government","Male","Aug",2,-0.83,572
313,20,"Year 7",60,"Certificate/Diploma","Government","Male","Dec",3,0.51,616
314,60,"Year 7",45,"Year 12","Government","Male","Oct",2,-1.08,538
315,8,"Year 7",0,"Year 12","Government","Male","Jul",2,0.34,551
316,30,"Year 5",25,"Bachelor degree","Catholic","Female","Jan",2,1.53,615
317,52,"Year 7",5,"Bachelor degree","Government","Female","Mar",3,0.68,588
318,40,"Year 3",85,"Year 12","Government","Female","Feb",1,-0.03,411
319,30,"Year 9",35,"Postgraduate","Catholic","Female","Jul",5,2.1,734
320,44,"Year 7",10,"Year 12","Independent","Male","Nov",2,0.72,595
321,37,"Year 9",25,"Postgraduate","Government","Male","Feb",1,1.5,704
322,23,"Year 5",10,"Bachelor degree","Independent","Female","Sep",1,1.28,594
323,54,"Year 3",25,"Year 12","Catholic","Male","Aug",5,0.02,408
324,27,"Year 5",20,"Certificate/Diploma","Government","Female","Feb",3,0.9,530
325,52,"Year 7",0,"Certificate/Diploma","Government","Male","May",3,0.84,577
326,8,"Year 3",10,"Bachelor degree","Government","Male","Jan",3,1.47,450
327,33,"Year 9",10,"Bachelor degree","Government","Male","Nov",3,0.52,596
328,53,"Year 5",0,"Year 12","Government","Male","Jan",0,0.46,532
329,35,"Year 5",0,"Certificate/Diploma","Government","Female","Feb",3,0.49,515
330,52,"Year 9",0,"Year 12","Government","Female","Feb",2,0.98,607
331,38,"Year 3",15,"Postgraduate","Government","Male","Jul",2,1,511
332,60,"Year 7",5,"Bachelor degree","Government","Female","Aug",2,0.93,545
333,18,"Year 7",0,"Bachelor degree","Government","Female","Jan",1,1.66,582
334,45,"Year 5",0,"Year 10 or below","Government","Male","Feb",2,-1,492
335,58,"Year 9",0,"Bachelor degree","Government","Male","Oct",2,1.48,637
336,49,"Year 9",25,"Postgraduate","Independent","Female","Aug",2,2.43,661
337,36,"Year 3",20,"Bachelor degree","Catholic","Male","Mar",2,0.86,461
338,16,"Year 7",10,"Postgraduate","Independent","Male","Oct",4,2.1,670
339,20,"Year 3",80,"Certificate/Diploma","Government","Male","Aug",1,0.48,435
340,58,"Year 7",10,"Bachelor degree","Government","Male","Jan",4,1.76,563
341,50,"Year 7",0,"Year 10 or below","Government","Female","Jul",2,-0.48,516
342,37,"Year 3",15,"Year 12","Government","Female","Jan",2,-0.06,457
343,40,"Year 7",5,"Year 12","Government","Male","Nov",1,-0.43,542
344,5,"Year 5",25,"Certificate/Diploma","Government","Male","Mar",5,0.95,599
345,36,"Year 9",10,"Certificate/Diploma","Catholic","Male","Nov",2,0.66,642
346,27,"Year 7",0,"Bachelor degree","Government","Male","Aug",2,0.41,555
347,53,"Year 3",5,"Postgraduate","Government","Female","Aug",0,1.21,495
348,54,"Year 3",50,"Year 12","Catholic","Male","Feb",1,0.49,369
349,3,"Year 9",0,"Year 12","Government","Male","Mar",3,0.28,604
350,19,"Year 5",10,"Year 10 or below","Government","Female","Mar",3,-0.99,495
351,58,"Year 9",30,"Year 12","Government","Female","Oct",2,0.35,663
352,29,"Year 5",35,"Year 12","Government","Male","Feb",4,-0.73,505
